Entry	RefSeq
Q9LN63	NP_001077562.1 [Q9LN63-1];NP_564081.1 [Q9LN63-1];NP_973864.1 [Q9LN63-1];NP_973865.1 [Q9LN63-1];
Q9LNE8	NP_001030978.1 [Q9LNE8-1];NP_172088.2 [Q9LNE8-2];
Q9LNN7	NP_175721.1;
Q9LNR3	NP_564021.1;
Q9LP77	NP_564528.1;
Q9LPP4	NP_566377.1;
Q9LPQ3	NP_173271.1;
Q9LPW7	NP_563915.1;
Q9LPZ9	
Q9LQQ8	NP_172265.1 [Q9LQQ8-1];
Q9LRR9	
Q9LRS0	
Q9LRY1	NP_001326412.1;NP_189123.2;
Q9LS40	NP_188478.1;
Q9LSF1	NP_189162.1;
Q9LSF8	NP_189154.1 [Q9LSF8-1];NP_974359.1 [Q9LSF8-2];
Q9LSI9	NP_189486.1;
Q9LSL5	NP_201363.1;
Q9LSR8	
Q9LSR9	NP_200836.1;
Q9LSS0	NP_200835.1;
Q9LU89	NP_001030770.1 [Q9LU89-1];NP_001326835.1 [Q9LU89-1];NP_001326836.1 [Q9LU89-1];NP_189231.1 [Q9LU89-1];
Q9LUW0	NP_188879.2;
Q9LV75	NP_201309.1;
Q9LV85	NP_569003.1;
Q9LV87	NP_569001.1;
Q9LVD6	NP_200532.1;
Q9LVE2	NP_001326520.1;NP_188802.1;
Q9LVH4	NP_188425.2;
Q9LVI4	NP_001078174.1;NP_001327107.1;NP_566590.1 [Q9LVI4-1];
Q9LVM2	NP_001119457.1 [Q9LVM2-2];NP_200634.1 [Q9LVM2-1];
Q9LVQ0	NP_566842.1;
Q9LW27	NP_189318.1;
Q9LW29	NP_566800.1;
Q9LW57	NP_566728.1;
Q9LW83	NP_188224.1;
Q9LX93	NP_196600.1;
Q9LXA5	NP_196615.1;
Q9LXV2	NP_196791.1;
Q9LXW7	NP_001154662.2 [Q9LXW7-1];NP_189978.1 [Q9LXW7-2];
Q9LY00	NP_191199.1;
Q9LY48	NP_191156.1;
Q9LY62	NP_191142.1;
Q9LYU4	NP_001330076.1;NP_196836.1;
Q9LYX1	NP_195934.1;
Q9LZF5	NP_195955.1;
Q9LZF8	NP_001330499.1;NP_195952.1;
Q9LZH5	NP_001030803.1 [Q9LZH5-2];NP_189958.1 [Q9LZH5-1];
Q9LZK5	NP_191819.1;
Q9LZU4	NP_190172.1;
Q9M020	
Q9M021	NP_195774.1;
Q9M084	NP_194847.3;NP_849558.1;
Q9M092	NP_194839.2;
Q9M0B6	NP_194773.1;
Q9M1G4	NP_001326585.1;NP_001326586.1;NP_190129.2;
Q9M1I7	NP_191272.1 [Q9M1I7-1];
Q9M1V9	NP_191890.1;
Q9M2E2	NP_191681.1 [Q9M2E2-1];
Q9M2L4	NP_191292.1;
Q9M2R1	NP_191345.1;
Q9M2S4	NP_191114.1;
Q9M2U5	NP_191010.1;
Q9M345	NP_190949.1;
Q9M367	NP_001030914.1 [Q9M367-3];NP_567116.1 [Q9M367-1];NP_974475.1 [Q9M367-2];
Q9M3D8	NP_190127.1;
Q9M3E5	NP_190119.1;
Q9M548	NP_196966.2;
Q9M658	NP_563806.1;NP_849608.1;
Q9M667	NP_190237.1;
Q9M670	NP_568144.1;
Q9M8L4	NP_178161.1 [Q9M8L4-1];
Q9M8M7	NP_178175.1;
Q9M9A8	NP_001077691.1 [Q9M9A8-2];NP_564539.1 [Q9M9A8-1];
Q9M9E0	NP_173006.1;
Q9M9E1	NP_173005.1;
Q9M9S3	NP_172893.1;
Q9MA46	NP_563748.1;
Q9MA75	NP_564486.1;
Q9MA83	NP_187187.1;
Q9MAP5	NP_564414.2;
Q9MBA3	NP_201414.1;
Q9S745	NP_190811.1;
Q9S757	NP_001078324.1 [Q9S757-2];NP_001190152.1 [Q9S757-3];NP_191703.1 [Q9S757-1];
Q9S7C9	NP_173514.1;
Q9S7E6	NP_177757.1;
Q9S7H8	
Q9S7M2	NP_565096.1;
Q9S7N2	NP_177213.1;
Q9S7U9	NP_001031751.1 [Q9S7U9-2];NP_194710.1 [Q9S7U9-1];
Q9S7Z3	NP_199220.1;
Q9S814	NP_195948.1;
Q9S972	
Q9S9M1	NP_173067.2;
Q9S9M2	NP_001319018.1;
Q9S9M3	
Q9S9M5	NP_173063.1;
Q9SA73	NP_174346.1;
Q9SAL0	NP_565206.1;
Q9SAR0	NP_192867.1;
Q9SAR5	NP_195270.1 [Q9SAR5-1];NP_849497.1 [Q9SAR5-1];NP_849498.1 [Q9SAR5-1];
Q9SB48	NP_194183.1 [Q9SB48-1];
Q9SBI0	NP_172383.3;NP_973799.1 [Q9SBI0-1];
Q9SCK6	NP_190522.1;
Q9SCU7	NP_189533.1;
Q9SCZ4	NP_190723.1;
Q9SE33	NP_568762.6;
Q9SE37	NP_172067.1;
Q9SE50	NP_001031175.1 [Q9SE50-2];NP_001185204.1 [Q9SE50-1];NP_175649.1 [Q9SE50-1];
Q9SF15	NP_566402.2;
Q9SF32	NP_187582.1 [Q9SF32-1];
Q9SF86	NP_001326011.1;NP_187594.1;NP_974270.1;
Q9SFT7	NP_566298.1;
Q9SG02	NP_001327617.1;NP_001327618.1;NP_001327619.1;NP_001327620.1;NP_190519.1;
Q9SGH6	NP_186791.1;
Q9SGS4	NP_177735.1;
Q9SGU3	NP_176012.1;
Q9SH93	
Q9SHF3	NP_174413.2;
Q9SHI4	NP_173168.1;
Q9SII6	NP_565408.1 [Q9SII6-1];NP_973478.1 [Q9SII6-2];
Q9SIN5	NP_181781.1;
Q9SIU2	NP_565356.1;
Q9SIV0	NP_179650.1 [Q9SIV0-1];NP_973489.1 [Q9SIV0-2];
Q9SIV2	NP_565477.1;
Q9SIW2	NP_179232.1;
Q9SJF3	
Q9SJQ6	NP_181190.3;
Q9SJZ6	NP_565534.1;
Q9SK33	NP_180072.1;
Q9SKB2	NP_180747.1;
Q9SKB3	NP_565730.1 [Q9SKB3-1];
Q9SKD6	NP_182167.2;
Q9SKD9	NP_182163.1;
Q9SKE2	NP_001078069.1 [Q9SKE2-3];NP_566071.1 [Q9SKE2-1];NP_850453.1 [Q9SKE2-1];
Q9SKG5	NP_178999.2;
Q9SKT0	NP_565491.1;
Q9SMP5	NP_190421.1;
Q9SMT7	NP_190468.1;
Q9SMU8	NP_190481.1;
Q9SMX3	NP_001190314.1;NP_197013.1;
Q9SMY7	NP_001328318.1;NP_567917.4;
Q9SN38	NP_193611.1;
Q9SN86	
Q9SNC6	NP_190235.1;
Q9SNV9	NP_179896.1;
Q9SP32	NP_171612.1 [Q9SP32-1];
Q9SPG2	NP_200950.1 [Q9SPG2-1];NP_851241.1 [Q9SPG2-2];
Q9SQR5	NP_001319464.1;NP_001326457.1;NP_001326458.1;NP_187047.1;NP_974214.1;NP_974215.1;
Q9SQY0	NP_566375.1 [Q9SQY0-2];NP_850554.1 [Q9SQY0-1];
Q9SR02	NP_187125.1;
Q9SR37	NP_187537.1;
Q9SRH5	NP_186777.1;
Q9SRH7	NP_186779.1;
Q9SRM3	NP_187728.1 [Q9SRM3-1];
Q9SRX9	NP_001117218.1 [Q9SRX9-2];NP_563667.1 [Q9SRX9-1];
Q9SRY5	NP_171791.1;
Q9SRZ6	NP_176768.1;
Q9SSD1	NP_178125.1;
Q9SSL9	NP_177451.1;
Q9STM3	NP_680116.2;
Q9STX1	NP_001078439.1 [Q9STX1-1];NP_001078440.1 [Q9STX1-1];NP_001078441.1 [Q9STX1-1];NP_194154.1 [Q9STX1-1];NP_849432.1 [Q9STX1-2];
Q9SU14	NP_193008.1 [Q9SU14-1];NP_849367.1 [Q9SU14-1];NP_849368.1 [Q9SU14-1];
Q9SU30	NP_001078377.1;NP_001328191.1;NP_192993.2;
Q9SU35	NP_192984.1;
Q9SU72	NP_001030829.1 [Q9SU72-2];NP_190392.1 [Q9SU72-1];
Q9SUJ1	NP_566256.1 [Q9SUJ1-2];NP_850519.1 [Q9SUJ1-1];
Q9SUP6	NP_194112.1;
Q9SUR9	NP_001031704.1 [Q9SUR9-2];NP_194088.1 [Q9SUR9-1];NP_849429.1 [Q9SUR9-1];
Q9SUT5	NP_192865.1;
Q9SV15	NP_567878.2 [Q9SV15-2];NP_849559.1 [Q9SV15-1];
Q9SV55	NP_001078466.1;NP_194620.1;NP_849467.1;
Q9SVC2	NP_190808.1;
Q9SVC6	NP_190813.1;
Q9SVG4	NP_193815.2 [Q9SVG4-1];
Q9SVY5	NP_191330.1;
Q9SW21	NP_194235.1 [Q9SW21-1];
Q9SWA6	NP_567557.1;
Q9SWH4	NP_567223.1;
Q9SXB3	
Q9SXB8	
Q9SY59	NP_001318968.1;NP_172488.1;
Q9SY95	
Q9SYF0	NP_175797.2;
Q9SZ15	NP_194405.1;
Q9SZD4	NP_194633.1;
Q9SZE2	NP_194643.1;
Q9SZI3	NP_194342.1;
Q9SZJ5	NP_195506.1;
Q9T003	NP_195242.1;
Q9T053	NP_192922.1;
Q9T058	NP_192927.5 [Q9T058-1];
Q9T074	NP_195500.1;
Q9XEC6	NP_192358.1;
Q9XF04	NP_001118398.1 [Q9XF04-1];NP_973541.1 [Q9XF04-2];
Q9XF23	
Q9XFD1	NP_001078705.1;NP_199233.1;
Q9XGM3	NP_199338.1 [Q9XGM3-1];
Q9XGW1	NP_001190464.1;NP_001331599.1;NP_001331600.1;NP_199194.1;
Q9XI31	NP_001031049.1;NP_563973.1;
Q9XI90	NP_172849.1 [Q9XI90-1];
Q9XIA9	NP_175368.2;
Q9XIE2	NP_176196.1;
Q9XIE6	NP_176191.1;
Q9XIM0	NP_001077895.1 [Q9XIM0-2];NP_565383.1 [Q9XIM0-1];
Q9ZP16	NP_194050.2;
Q9ZPF5	NP_192626.1 [Q9ZPF5-1];
Q9ZQ80	NP_178443.1;
Q9ZQG4	NP_179150.3 [Q9ZQG4-1];
Q9ZQI7	NP_565359.1;
Q9ZR08	NP_001329571.1;NP_192232.5;
Q9ZR12	NP_567255.1;
Q9ZR79	NP_191533.1;
Q9ZSA8	NP_192788.1;
Q9ZSD4	NP_187788.1 [Q9ZSD4-1];NP_974288.1 [Q9ZSD4-2];
Q9ZSK3	NP_001318843.1 [Q9ZSK3-2];NP_568916.2 [Q9ZSK3-2];NP_851228.1 [Q9ZSK3-1];
Q9ZT48	NP_196189.1;
Q9ZT82	
Q9ZU49	NP_001318171.1 [Q9ZU49-1];NP_001323949.1 [Q9ZU49-2];NP_001323950.1 [Q9ZU49-1];NP_565255.1 [Q9ZU49-1];NP_973389.1 [Q9ZU49-2];
Q9ZU93	NP_001318177.1;NP_565271.1;
Q9ZUF4	NP_178651.1;
Q9ZUJ5	NP_176205.1;
Q9ZUU4	NP_181259.1;
Q9ZVC2	NP_181668.1;
Q9ZVD5	NP_001189613.1;NP_565633.1;
Q9ZVR7	NP_178330.1;
Q9ZW18	NP_001031442.1 [Q9ZW18-3];NP_180496.1 [Q9ZW18-1];NP_973558.1 [Q9ZW18-2];
A0A1P8B554	NP_001328599.1 [A0A1P8B554-2];NP_194149.2 [A0A1P8B554-1];
A0A1P8BDL3	NP_001331322.1;
A8MS31	NP_001078712.1;
C4B7M6	
C4B7M7	
D5K228	NP_001319792.1;NP_567063.1;
F4HVZ1	NP_563647.1;
F4HYG2	NP_001031155.4;NP_001154409.1;NP_564529.4;
F4I082	NP_564682.2;
F4I594	NP_176590.2;
F4I902	NP_001319029.1;NP_173204.1;
F4J078	NP_001078200.1;
F4JEQ2	NP_188689.1;
F4JIE8	NP_193209.2 [F4JIE8-1];
F4JNA9	NP_193420.2;
F4JNB7	NP_193428.2 [F4JNB7-1];
F4JPP0	NP_195350.5;
F4JQ95	NP_001328552.1;NP_567845.4;
F4JT80	NP_001328446.1;NP_001328447.1;NP_001328448.1;NP_001328449.1;NP_193686.5;
F4JWM0	NP_001318593.1;
F4K2G3	NP_001190300.1 [F4K2G3-2];NP_196817.2 [F4K2G3-1];
F4KBW6	
F4KHH8	NP_199459.2 [F4KHH8-1];
F4KI00	NP_201356.2;
F4KIF3	NP_197290.1;
O04203	NP_181529.1;
O04533	NP_177170.1;
O04534	NP_177168.1;
O22241	NP_190058.1;
O22834	NP_001318417.1;NP_181897.1;
O23006	NP_565406.1;
O23081	NP_567204.3;
O48771	NP_180853.2;
O49445	NP_001320081.1;
O49506	NP_001078406.1 [O49506-2];NP_001329914.1 [O49506-1];NP_193570.1 [O49506-1];
O49564	NP_193855.2;
O64770	
O64771	NP_176343.2;
O64774	NP_176341.3;
O64776	
O64777	
O64778	
O64780	
O64781	
O64793	NP_176919.2;
O64798	NP_564898.1;
O64842	NP_180197.1;
O65399	NP_001184967.1 [O65399-1];NP_001323381.1;
O65405	NP_001320019.1;
O65468	
O65472	NP_001320040.1;
O65476	NP_001320041.1;
O65482	NP_194062.1;
O65483	
O80678	NP_001078035.1;NP_001318398.1;NP_181639.1;
O80713	NP_182235.1;
O80959	NP_181455.1;
O80961	NP_565902.1;
O81020	NP_180255.1;
O81211	NP_001319042.1 [O81211-1];NP_173357.1;
O81292	NP_567233.1;
O81415	NP_192139.1;
O81832	NP_194459.4;
O81906	NP_193870.1;
O82122	NP_568454.1 [O82122-1];
P0DH87	
P0DKH6	
P28493	
P30224	NP_565119.1;
P33154	
P42758	NP_190666.1;
P43293	NP_195849.1;NP_850755.1;
P54121	NP_001326185.1;NP_189535.1;
P57691	NP_187734.1;
P93822	NP_171932.1;
Q058P6	NP_568373.1 [Q058P6-1];
Q0WML3	NP_001078711.1;
Q0WQ07	NP_193268.3;
Q1PDI2	NP_200577.2;
Q1PE40	NP_194575.2;
Q39017	NP_001331085.1;NP_196409.1;
Q39182	NP_178319.1;
Q39251	NP_001327290.1;NP_566882.1;
Q3E7K4	NP_189695.1;
Q3E884	NP_200839.1;
Q3E8H4	NP_974882.1;
Q3E9A0	NP_197538.2;
Q3E9X6	NP_194060.3 [Q3E9X6-1];NP_849550.2 [Q3E9X6-2];
Q41906	NP_181620.1;
Q42328	NP_181879.1;
Q4V3C1	NP_178407.2;
Q5M750	NP_564303.2 [Q5M750-1];
Q5PP29	NP_174019.2;
Q5S1W2	NP_568180.1;
Q5XF79	NP_001323365.1;NP_177137.2;
Q6NQ87	NP_194061.2;
Q7FZR1	NP_197963.1 [Q7FZR1-1];
Q7XJE5	NP_001031711.1 [Q7XJE5-2];NP_194241.3 [Q7XJE5-1];
Q84M95	NP_001320422.1;NP_173814.2 [Q84M95-1];
Q84TF4	NP_563691.1 [Q84TF4-1];NP_849586.1 [Q84TF4-2];
Q8GUG7	NP_187354.1;
Q8GWF1	NP_197649.2;
Q8GWN6	NP_850920.1;
Q8GWQ2	NP_567432.1;
Q8GXZ3	NP_195722.2;
Q8H133	NP_001190866.1 [Q8H133-2];NP_194709.2 [Q8H133-1];
Q8H199	NP_567680.5 [Q8H199-1];
Q8H1E3	NP_001189514.1;NP_178731.2;
Q8L868	NP_174563.2;
Q8L9K1	NP_182011.1;
Q8L9T5	NP_188294.1;
Q8LA96	NP_567536.1;
Q8LGD5	NP_566616.1;
Q8RWI9	NP_188746.2;
Q8RWL5	NP_001078575.1;
Q8RWQ9	NP_566880.1 [Q8RWQ9-1];
Q8RX80	NP_001320043.1 [Q8RX80-1];
Q8S8Q6	NP_850045.2;
Q8S9L6	NP_193872.2;
Q8VYM0	NP_850162.1;
Q8VZE7	NP_850176.1;
Q8VZJ2	NP_193361.4;
Q8W1D5	NP_568466.1;
Q8W4D4	NP_191525.2;
Q8W4G6	NP_194054.3;
Q93V74	NP_567957.1;
Q93VC9	NP_563648.1;
Q93Y31	NP_569051.1;
Q93Z08	NP_200617.2;
Q93ZB1	NP_001117399.1 [Q93ZB1-1];NP_001320333.1;NP_001320335.1;NP_564405.1 [Q93ZB1-1];NP_849742.2 [Q93ZB1-2];
Q940K0	NP_176313.1 [Q940K0-1];
Q945Q1	NP_196775.1;
Q94BY9	NP_200169.1;
Q94CD8	NP_001326916.1;NP_001326917.1;NP_187965.1;NP_974302.1;NP_974303.1;
Q94CK4	NP_568271.2;
Q94JW8	NP_177077.3;
Q9C5Z6	
Q9C718	NP_175911.1;
Q9C776	NP_187733.1;
Q9C7N2	NP_564333.1;
Q9C7N5	
Q9C7R6	NP_174228.1;
Q9C7U5	NP_176799.2;
Q9C927	NP_001319211.1;
Q9CAK1	NP_176572.1;
Q9FGF8	NP_201280.1;
Q9FGH4	NP_200656.2;
Q9FH54	NP_200995.1;
Q9FH66	NP_199073.1;
Q9FH97	NP_201517.1;
Q9FHF0	NP_001330960.1;NP_199319.1;
Q9FI03	NP_200184.1;
Q9FI23	NP_199255.1;
Q9FIF0	NP_200735.1;
Q9FIF1	NP_200734.1;
Q9FJD6	NP_200809.4;
Q9FJI4	NP_200840.1;
Q9FJU9	
Q9FK66	NP_199389.1;
Q9FKX5	NP_001332466.1 [Q9FKX5-1];NP_201408.1 [Q9FKX5-1];
Q9FL62	NP_568439.1;
Q9FM85	NP_200457.1;
Q9FMS6	
Q9FNJ8	NP_197655.1;
Q9FW44	NP_174620.2;
Q9FZC7	NP_173965.1;
Q9FZC8	NP_173966.1;
Q9LDM5	NP_192886.1;
Q9LDN1	NP_192888.1;
Q9LDQ3	
Q9LDR8	NP_567626.1;
Q9LDS6	NP_192887.1;
Q9LDT0	NP_192885.1;
Q9LDZ5	NP_173489.2;
Q9LEA3	NP_191532.1;
Q9LFH9	NP_190906.1;
Q9LKA4	NP_188119.1;NP_974317.1;
Q9LMU2	NP_173228.1;
Q9LND1	NP_172106.1;
Q9LNV9	NP_001154317.1 [Q9LNV9-2];NP_001322741.1 [Q9LNV9-1];
Q9LPE8	NP_175104.1;
Q9LPU7	NP_001319057.1;
Q9LPZ3	
Q9LQM8	NP_174510.1;
Q9LQV2	NP_172932.1;
Q9LTC0	NP_199518.1;
Q9LUV2	NP_001319574.1;NP_566569.1;
Q9LUZ6	NP_200668.1 [Q9LUZ6-1];NP_974961.1 [Q9LUZ6-2];
Q9LVL1	NP_200648.1;
Q9LVL2	NP_200647.1;
Q9LXE5	NP_197042.2;
Q9LXM2	
Q9M088	
Q9M0X5	NP_192429.1;
Q9M1G3	NP_001327866.1;NP_001327868.1;NP_190130.1;
Q9M1X0	NP_567141.1;
Q9M1Z9	NP_191534.1;
Q9M246	NP_189930.1 [Q9M246-1];
Q9M2S3	NP_191115.1;
Q9M3D7	NP_190128.1;
Q9M8J5	NP_187274.1;
Q9M9V6	NP_001154351.1;NP_173321.4 [Q9M9V6-1];
Q9MBH2	NP_566840.1;
Q9S785	
Q9S7R7	NP_187515.1;
Q9S9U1	NP_567277.1;
Q9SAH7	NP_178199.1;
Q9SAH9	NP_178197.1;
Q9SAI2	NP_178193.1 [Q9SAI2-1];NP_849915.1 [Q9SAI2-1];
Q9SAV1	NP_175615.1;NP_849794.1;
Q9SCS6	NP_566933.1;
Q9SCX6	
Q9SFX0	NP_177763.1;
Q9SGN6	NP_564307.1;
Q9SGP2	NP_174166.1;
Q9SIB6	NP_180426.1;
Q9SJK3	NP_850110.1;
Q9SK71	NP_179621.1;
Q9SLH0	NP_180273.1;
Q9SR17	NP_566232.1;
Q9SR87	NP_187499.1;
Q9SS87	NP_186817.1;
Q9SSN3	NP_001077816.1 [Q9SSN3-2];NP_177436.1 [Q9SSN3-1];
Q9SU34	
Q9SU71	NP_190391.1;
Q9SXB4	
Q9SXB5	NP_001321940.1;
Q9SXB6	NP_172598.1 [Q9SXB6-1];
Q9SY89	
Q9SY91	NP_176353.1;
Q9SYA0	
Q9SYS3	NP_192366.1 [Q9SYS3-1];
Q9SYS7	NP_192363.1;
Q9SZ06	
Q9SZ66	NP_192938.1;
Q9SZ67	NP_001118968.1 [Q9SZ67-1];
Q9SZD5	NP_194634.1 [Q9SZD5-1];
Q9T0J1	NP_195594.1 [Q9T0J1-1];
Q9XEC7	NP_192359.1;
Q9XEC8	NP_192360.1;
Q9XEE6	
Q9ZQG9	
Q9ZSA7	NP_192787.1;
Q9ZT07	NP_172601.3;
Q9ZT49	NP_195273.1;
Q9ZU82	NP_566122.1;NP_850484.1;
Q9ZU91	
Q9ZU94	NP_565272.1 [Q9ZU94-1];NP_973394.1 [Q9ZU94-2];
Q9ZUN4	NP_179549.1;
Q9ZV05	NP_565898.1;
Q9ZV31	NP_001318308.1;
Q9ZV52	NP_849979.1;
Q9ZW11	NP_180488.1;
Q9ZW27	NP_180507.1;
Q9ZW82	NP_850385.1;
A0A178UV56	
A0A178VE74	NP_001325830.1 [A0A178VE74-1];NP_191333.1 [A0A178VE74-2];
A0A178VXC0	NP_001323490.1;
A0A1I9LPL1	NP_001326539.1;
A0A1I9LPL5	NP_001326543.1;
A0A1I9LPX0	NP_001326643.1;
A0A1I9LR83	NP_001327086.1;
A0A1I9LRL0	NP_001327204.1;
A0A1P8AM94	
A0A1P8AM95	
A0A1P8AMA0	
A0A1P8AME8	
A0A1P8AMJ7	NP_001320358.1;
A0A1P8AMY7	NP_001320487.1;
A0A1P8ARD8	
A0A1P8AS04	
A0A1P8ASG9	
A0A1P8ASM5	
A0A1P8AT27	
A0A1P8ATF5	
A0A1P8AU37	
A0A1P8AU51	
A0A1P8AVJ2	
A0A1P8AVQ7	
A0A1P8AYN1	NP_001323954.1;
A0A1P8B034	NP_001324409.1;NP_001324410.1;NP_001324411.1;NP_001324412.1;
A0A1P8B3C8	NP_001328027.1;
A0A1P8B3X1	NP_001328190.1;
A0A1P8B3Y6	NP_001328189.1;
A0A1P8B560	NP_001328605.1;
A0A1P8B5P5	NP_001328774.1;
A0A1P8B740	NP_001329249.1;
A0A1P8B741	NP_001329247.1;
A0A1P8BAP1	NP_001330386.1;
A0A1P8BCS4	NP_001331084.1;
A0A1P8BH59	NP_001318476.1;NP_001332504.1;
A8MS37	NP_001078154.1;
B2BDI5	
B2BDI6	NP_176610.1;
B2BDI7	
B2BDI8	
B2BDI9	
B2BDJ4	
B2BDJ6	
B2BDK0	
B2BDK4	
B2BDM5	NP_196820.1;
B2BDM6	
B3H4B8	NP_001078155.1;
C0Z2N6	
D5K211	
D9UBX4	
D9UBX6	
D9UC01	
F4HS84	NP_563622.1;
F4HU15	NP_001185452.1;
F4HVC3	NP_001185281.1;NP_001185283.1;
F4I5P3	NP_001030958.1;
F4I901	NP_173203.2;
F4I9R6	NP_176112.3 [F4I9R6-1];
F4IBE4	NP_001117515.1 [F4IBE4-2];NP_001322914.1 [F4IBE4-1];NP_176151.2 [F4IBE4-2];NP_683446.1 [F4IBE4-1];
F4IZ82	NP_190555.2;
F4J3H7	NP_191336.2;
F4JFV3	NP_566485.1;
F4JFV6	NP_001189891.1;
F4JIJ7	NP_193829.2;
F4JKI3	NP_194542.2;
F4JPX3	NP_193501.2;
F4JPY3	NP_567536.1;
F4JR91	NP_001190942.2;
F4JRC5	NP_568022.1;
F4JT78	NP_193685.6;
F4JT82	NP_193687.3;
F4JVC1	NP_849523.1;
F4K005	NP_001154758.1;
F4K2F0	NP_196806.2;
F4K3D8	NP_001154780.1;
F4K3Z6	NP_001190303.1;
F4K5T4	
F4K6W1	
F4K956	NP_568845.1;
F4KD92	NP_001190515.1;
F4KH40	NP_001190382.1;
F4KH41	NP_001190383.1;
K9LQP6	
K9LQT0	
O04093	NP_001117266.1;NP_001322203.1;NP_172561.2;
O04496	NP_563851.1;
O04609	NP_192034.1;
O22757	NP_565416.1;
O22815	NP_180923.1;
O22841	
O22842	
O22866	NP_181880.1;
O22867	NP_181881.2;
O22869	NP_566002.2;
O22944	NP_565959.1;
O23082	NP_001319837.1;
O23693	NP_001320916.1;NP_563882.1;
O24598	
O24654	
O24658	
O48779	NP_180845.2 [O48779-2];NP_973587.1 [O48779-1];
O49195	NP_568455.1 [O49195-1];
O49352	NP_197533.1;
O49353	NP_197534.1;
O49471	
O49621	NP_001031578.1;NP_192169.1;
O49663	NP_194013.1;NP_974594.1;
O64687	NP_181007.1;
O64790	NP_176325.2;
O65469	NP_194048.1;
O65506	
O80580	NP_181939.1 [O80580-1];
O80795	
O80994	NP_180172.1;
O80995	NP_180171.1;
O81829	NP_194456.1;
O82199	NP_179571.1;
O82500	
O82772	NP_187014.1;
P0C8S1	NP_001319213.1;
P0DI16	NP_001117515.1 [P0DI16-2];NP_001322914.1 [P0DI16-1];NP_176151.2 [P0DI16-2];NP_683446.1 [P0DI16-1];
P0DI17	NP_001031207.1;NP_001185265.1;NP_001323213.1;NP_176153.1;NP_683447.2;
P0DI18	NP_001031207.1;NP_001185265.1;NP_001323213.1;NP_176153.1;NP_683447.2;
P0DO60	
P22738	NP_176352.1;
P59584	
P60839	
P82624	NP_974058.1 [P82624-1];
P82773	NP_567840.1;
P82784	
P82787	NP_173391.2;
P82789	NP_198649.2;
Q08A72	NP_181972.2;
Q0WPW4	
Q0WSK8	NP_191323.1;
Q1HDT3	NP_176599.2;
Q2V3V9	NP_850585.2;
Q2V424	NP_001031491.1;
Q39066	NP_174441.1;
Q3E984	NP_197602.2;
Q41914	NP_178320.1;
Q41916	NP_199566.1;
Q42596	NP_565038.1;
Q42597	NP_198507.1;
Q4V3B3	NP_850416.1;
Q56XC2	NP_567399.3;
Q58FX0	NP_182100.2;
Q5PNY6	NP_198565.1;
Q5S502	NP_175402.2;
Q67Y55	
Q67ZU1	NP_568295.2;
Q84WT8	NP_001319960.1;NP_001329293.1;
Q84WV2	NP_177722.1;
Q8GWX2	NP_179708.2;
Q8GX29	NP_174420.1;
Q8GXT2	NP_001078056.1 [Q8GXT2-3];NP_001118524.1 [Q8GXT2-1];NP_850417.1 [Q8GXT2-2];
Q8GYH5	
Q8H0V6	NP_176636.1;
Q8L5T9	NP_180758.1;
Q8L923	NP_566485.1;
Q8L9W4	
Q8LBA0	NP_565085.1;
Q8LCE4	NP_564455.1;
Q8LCW9	NP_001077439.1 [Q8LCW9-1];NP_171618.1 [Q8LCW9-1];NP_849569.1 [Q8LCW9-1];
Q8LF65	NP_567480.2;
Q8LL17	NP_179323.1;
Q8RX75	
Q8RXS5	NP_201107.2;
Q8RYE7	NP_566000.1;
Q8VWQ5	NP_197989.2;
Q8VYA1	NP_850175.1 [Q8VYA1-1];NP_973578.1 [Q8VYA1-2];
Q8VYI5	NP_001321086.1;NP_565179.1;
Q8VZC7	NP_199364.2 [Q8VZC7-1];
Q8VZF6	NP_199369.2;
Q8VZG1	NP_849980.1;
Q8W3K0	NP_001077742.1;NP_683441.1;
Q8W3K3	NP_001319266.1;
Q8W474	NP_001319265.1;NP_176135.1;
Q93VR4	NP_001185075.1;NP_173813.1;
Q94JR6	NP_191552.2;
Q94KB1	NP_001319086.1;NP_564257.1;
Q94KB2	NP_567697.1;
Q94KB4	NP_174980.3;
Q94KB7	NP_176350.1 [Q94KB7-1];
Q94KB9	NP_566879.1;
Q9C514	NP_175314.1;NP_849786.1;
Q9C5E5	NP_001031381.1 [Q9C5E5-1];NP_565492.1 [Q9C5E5-2];NP_850007.1 [Q9C5E5-1];NP_973498.1 [Q9C5E5-2];
Q9C5I0	NP_563622.1;
Q9C5Z7	
Q9C646	NP_001319267.1;NP_001323309.1;NP_176137.1;
Q9C801	NP_174617.1;
Q9C947	NP_176302.2;
Q9C9X5	
Q9FFP8	NP_201171.1;
Q9FGZ4	NP_199763.1;
Q9FI00	NP_001032070.1;NP_200187.1;
Q9FI14	NP_199264.1;
Q9FI22	NP_199256.1;
Q9FIY1	NP_199172.1;
Q9FJ90	NP_200015.1;
Q9FJB5	NP_001332515.1;NP_198395.1;
Q9FJK8	NP_001331068.1;NP_001331069.1;NP_001331070.1;NP_001331071.1;NP_001331072.1;NP_199673.1;
Q9FKG1	NP_200968.1;
Q9FKZ0	
Q9FKZ1	
Q9FLU8	NP_197843.2;
Q9FLU9	NP_197842.1;
Q9FLX8	NP_568777.1;
Q9FNP8	NP_200925.1;
Q9FPJ5	NP_197608.1;
